,xAcc,yAcc,zAcc
0,0.0112,-0.0106,-9.1792
1,0.0664,0.0127,-9.1577
2,0.0325,0.0239,-9.1589
3,0.0094,-0.0111,-9.1587
4,0.0701,0.0053,-9.159
5,0.0384,0.0237,-9.1638
6,-0.011,-0.0149,-9.1513
7,0.0537,0.0094,-9.1626
8,0.0305,0.0227,-9.1525
9,-0.01,-0.0064,-9.147
10,0.0584,0.0044,-9.1776
11,0.0407,0.0023,-9.1826
12,-0.0191,-0.0295,-9.1476
13,0.0605,-0.0122,-9.1301
14,0.0761,0.0206,-9.1588
15,0.007,-0.018,-9.1539
16,0.0679,-0.027,-9.1246
17,0.0783,0.0079,-9.1403
18,-0.0055,0.0003,-9.1504
19,0.0327,0.0063,-9.1621
20,0.068,0.0146,-9.1592
21,0.0101,-0.0092,-9.1432
22,0.0415,-0.0095,-9.1456
23,0.0779,0.0042,-9.1363
24,0.0086,-0.0092,-9.1344
25,0.0275,0.0005,-9.1289
26,0.0831,0.0302,-9.1233
27,0.0333,0.0089,-9.1533
28,0.0345,-0.0063,-9.1839
29,0.0721,0.0047,-9.1789
30,0.0126,-0.0118,-9.1541
31,0.01,-0.0077,-9.1602
32,0.0829,0.0262,-9.1634
33,0.0278,0.0148,-9.1385
34,0.0081,-0.0172,-9.1469
35,0.0742,-0.0015,-9.1497
36,0.0173,0.0037,-9.1573
37,-0.0153,-0.012,-9.176
38,0.0618,0.0121,-9.1761
39,0.0504,0.007,-9.1847
40,0.0048,-0.0164,-9.1913
41,0.0636,0.009,-9.2041
42,0.0566,-0.0033,-9.1685
43,-0.0022,-0.042,-9.1271
44,0.0586,-0.0101,-9.1527
45,0.0596,0.0246,-9.1703
46,-0.0003,0.0026,-9.1686
47,0.0618,0.0083,-9.1677
48,0.0674,0.0161,-9.1509
49,-0.0159,-0.0262,-9.1479
50,0.0395,-0.0336,-9.1596
51,0.0719,-0.0032,-9.1462
52,-0.0038,-0.0181,-9.1551
53,0.0453,-0.0109,-9.1685
54,0.0867,0.0228,-9.1638
55,-0.0144,0.0036,-9.16
56,-0.004,-0.0035,-9.1431
57,0.0644,0.0228,-9.1528
58,0.007,-0.0078,-9.1526
59,0.0205,-0.0141,-9.1308
60,0.0833,0.0268,-9.1327
61,0.0264,0.0129,-9.165
62,0.0167,-0.0144,-9.1776
63,0.0784,0.0091,-9.1456
64,0.0219,0.0191,-9.1271
65,0.0038,0.0072,-9.1422
66,0.0821,0.0324,-9.1641
67,0.0559,0.0179,-9.167
68,0.0227,-0.0198,-9.1573
69,0.0806,0.0076,-9.1587
70,0.0592,0.0297,-9.1602
71,0.019,0.0025,-9.1529
72,0.0663,0.0163,-9.1629
73,0.0429,0.0271,-9.1847
74,-0.009,-0.0074,-9.1963
75,0.0588,-0.001,-9.1849
76,0.0767,0.0284,-9.1704
77,0.0037,-0.0076,-9.1761
78,0.0673,-0.0068,-9.1862
79,0.083,0.0269,-9.1878
80,0.0106,0.0005,-9.1719
81,0.0651,0.0121,-9.1565
82,0.0843,0.0276,-9.1689
83,0.0157,-0.0002,-9.1791
84,0.0462,0.004,-9.1884
85,0.0755,0.0079,-9.1851
86,-0.0114,-0.0149,-9.1405
87,0.0152,0.0017,-9.1203
88,0.0849,0.0224,-9.1502
89,0.0174,-0.0214,-9.1655
90,0.0094,-0.0195,-9.1791
91,0.0563,0.0094,-9.193
92,-0.005,-0.0001,-9.1852
93,-0.0101,0.0139,-9.1747
94,0.0685,0.0219,-9.1748
95,0.0125,-0.0109,-9.199
96,0.0037,-0.0238,-9.2022
97,0.0845,0.006,-9.1737
98,0.0322,0.0064,-9.1642
99,-0.007,0.0011,-9.1733
100,0.0634,0.0018,-9.1821
101,0.052,-0.0177,-9.1971
102,0.0165,-0.0276,-9.1818
103,0.0665,-0.0057,-9.1722
104,0.0434,-0.0029,-9.1718
105,0.0042,-0.0277,-9.1735
106,0.0816,0.0051,-9.1595
107,0.0904,0.0151,-9.1381
108,0.0417,-0.012,-9.1431
109,0.0858,0.016,-9.1537
110,0.0514,0.0153,-9.1807
111,-0.0139,-0.0221,-9.1817
112,0.0595,-0.0179,-9.1614
113,0.0905,-0.0001,-9.1466
114,0.0203,-0.0114,-9.1509
115,0.06,-0.0016,-9.1674
116,0.0969,0.017,-9.1786
117,0.0182,-0.0017,-9.1691
118,0.0271,0.0,-9.1644
119,0.0762,0.0021,-9.1708
120,0.0258,-0.0163,-9.1729
121,0.0381,0.0033,-9.1784
122,0.0883,0.0422,-9.181
123,0.0167,0.0169,-9.1592
124,0.0191,-0.0075,-9.1459
125,0.0984,0.0165,-9.1471
126,0.0469,-0.0052,-9.1697
127,0.015,-0.023,-9.1879
128,0.0713,0.0128,-9.162
129,0.0473,0.0278,-9.1516
130,0.0296,0.0184,-9.158
131,0.0804,0.0266,-9.1796
132,0.0478,0.0041,-9.1806
133,0.0047,-0.0231,-9.1573
134,0.0554,0.015,-9.1555
135,0.0454,0.0224,-9.1404
136,0.0223,-0.0033,-9.1391
137,0.097,0.0091,-9.1725
138,0.0865,0.0055,-9.1899
139,0.0177,-0.0141,-9.1893
140,0.0673,0.0221,-9.167
141,0.0801,0.05,-9.1631
142,0.0128,0.0103,-9.1715
143,0.0551,0.0073,-9.1717
144,0.0661,0.0225,-9.1841
145,-0.0034,0.0061,-9.1539
146,0.0362,0.014,-9.1522
147,0.0794,0.0213,-9.1905
148,0.0172,-0.0175,-9.169
149,0.0297,-0.0141,-9.1453
150,0.0598,0.018,-9.1465
151,-0.0044,-0.0076,-9.1658
152,0.0191,-0.0014,-9.1795
153,0.062,0.0126,-9.1572
154,-0.0027,-0.0087,-9.1703
155,0.0134,0.002,-9.1785
156,0.0833,0.0482,-9.1629
157,0.0106,0.0321,-9.1334
158,-0.0174,-0.0042,-9.1397
159,0.0652,0.0131,-9.206
160,0.042,0.0072,-9.2105
161,0.0087,-0.0139,-9.2044
162,0.0756,-0.0033,-9.2066
163,0.0422,0.0072,-9.1843
164,0.0131,0.0002,-9.1924
165,0.0752,0.0336,-9.189
166,0.0281,0.0348,-9.1762
167,-0.0016,-0.0062,-9.1746
168,0.0745,0.0161,-9.1862
169,0.0421,0.0236,-9.2027
170,-0.0236,-0.0139,-9.1911
171,0.0592,-0.0059,-9.1762
172,0.0695,0.0104,-9.1563
173,-0.0046,-0.0101,-9.1209
174,0.0462,-0.0089,-9.1247
175,0.0678,0.0001,-9.1618
176,0.0065,-0.0266,-9.1743
177,0.0527,-0.0231,-9.1877
178,0.0634,0.0025,-9.1903
179,-0.0171,-0.0103,-9.1543
180,0.0325,-0.0021,-9.1496
181,0.0639,0.0278,-9.1584
182,0.0012,-0.002,-9.1508
183,0.0509,-0.0186,-9.1739
184,0.097,0.0152,-9.203
185,0.0236,0.0022,-9.218
186,0.042,-0.0164,-9.2029
187,0.1041,0.0224,-9.1864
188,0.0373,0.0228,-9.1634
189,0.0188,-0.0144,-9.1407
190,0.0765,-0.0069,-9.1557
191,0.0211,0.0004,-9.1522
192,0.0028,0.0045,-9.129
193,0.0829,0.0301,-9.1421
194,0.0399,0.0034,-9.1629
195,0.0044,-0.0179,-9.1389
196,0.0773,0.0231,-9.1267
197,0.0545,0.0306,-9.1511
198,0.0174,-0.0021,-9.1866
199,0.0818,0.0072,-9.1967
200,0.0544,0.008,-9.1903
201,-0.0052,-0.0244,-9.1896
202,0.0574,0.0021,-9.1754
203,0.0514,0.0181,-9.1672
204,-0.0108,-0.0057,-9.1775
205,0.0452,0.0067,-9.1702
206,0.0572,0.0177,-9.1412
207,0.002,-0.0119,-9.1333
208,0.0459,-0.009,-9.1603
209,0.0483,0.0025,-9.195
210,-0.0105,-0.013,-9.1914
211,0.046,0.019,-9.1731
212,0.0745,0.038,-9.1473
213,0.0,-0.0039,-9.1409
214,0.0261,0.0099,-9.1408
215,0.0662,0.0227,-9.1441
216,0.0036,-0.0111,-9.1697
217,0.0291,0.0015,-9.1735
218,0.0842,0.0179,-9.1571
219,0.0164,-0.0072,-9.1632
220,0.0252,-0.0121,-9.1851
221,0.0941,0.0372,-9.2067
222,0.0304,0.0311,-9.2005
223,0.0244,-0.0048,-9.1607
224,0.0779,0.0262,-9.1437
225,0.0208,0.027,-9.1368
226,0.0092,0.0236,-9.133
227,0.0687,0.0411,-9.1601
228,0.0154,0.0155,-9.1857
229,-0.0169,-0.0107,-9.1817
230,0.0607,0.0146,-9.1778
231,0.0541,0.0163,-9.1742
232,0.0154,-0.0265,-9.1619
233,0.0654,-0.0169,-9.1783
234,0.0392,0.0082,-9.1734
235,-0.0163,-0.0134,-9.154
236,0.0537,-0.0109,-9.1756
237,0.0527,0.0173,-9.1749
238,-0.0125,-0.0146,-9.1618
239,0.0435,0.0,-9.1519
240,0.0712,0.0401,-9.1482
241,-0.0042,0.0027,-9.1718
242,0.0173,-0.0043,-9.1894
243,0.0559,-0.0005,-9.1599
244,-0.0045,-0.0128,-9.1393
245,0.0393,-0.0088,-9.1649
246,0.1003,0.0161,-9.1838
247,0.0156,0.0192,-9.1717
248,0.0307,-0.0018,-9.1561
249,0.0934,0.0051,-9.18
250,0.0168,-0.0049,-9.1972
251,0.0165,-0.0015,-9.1759
252,0.081,0.0238,-9.1763
253,0.0336,0.0111,-9.1659
254,0.0401,-0.0031,-9.1597
255,0.0874,0.0211,-9.1579
256,0.0271,0.0124,-9.1493
257,0.0208,-0.0017,-9.1838
258,0.0931,0.0126,-9.1892
259,0.0572,-0.0056,-9.1648
260,0.0058,-0.0259,-9.147
261,0.0644,-0.0096,-9.1437
262,0.0528,-0.0169,-9.1729
263,0.0206,-0.027,-9.178
264,0.0772,0.0085,-9.1555
265,0.0437,0.0204,-9.1508
266,-0.012,0.0174,-9.1398
267,0.0506,0.0331,-9.1306
268,0.0587,0.0199,-9.1258
269,0.0093,-0.0074,-9.1364
270,0.0597,0.003,-9.1507
271,0.0771,0.0042,-9.1368
272,0.0185,-0.0136,-9.1509
273,0.0575,0.0115,-9.1792
274,0.0611,0.019,-9.1582
275,-0.0166,-0.0174,-9.137
276,0.0385,-0.0158,-9.1451
277,0.0855,0.0072,-9.1519
278,0.0254,-0.0059,-9.174
279,0.0544,0.012,-9.1884
280,0.0883,0.0418,-9.159
281,0.0133,0.0075,-9.1238
282,0.024,0.0003,-9.1229
283,0.0829,0.0077,-9.1674
284,0.0427,-0.0229,-9.1954
285,0.0391,-0.0203,-9.1619
286,0.083,0.0142,-9.1513
287,0.0194,0.0596,-9.2017
288,-0.2565,1.3844,-9.2124
289,-0.6143,1.9743,-9.1812
290,-0.1275,-0.2492,-9.1656
291,0.5198,-1.4727,-9.1701
292,0.3277,-0.5316,-9.177
293,-0.0208,0.1991,-9.1757
294,-0.1355,0.1964,-9.177
295,0.0478,-0.0003,-9.1872
296,0.1761,-0.2072,-9.1909
297,0.1426,-0.316,-9.1682
298,0.1521,-0.2247,-9.1545
299,0.0879,-0.0853,-9.1522
300,0.0072,-0.0568,-9.1486
301,0.0817,-0.0702,-9.1578
302,0.0924,-0.0985,-9.1652
303,0.0253,-0.1285,-9.1533
304,0.0631,-0.0987,-9.1563
305,0.0801,-0.0591,-9.1573
306,0.0244,-0.0639,-9.1352
307,0.0591,-0.0379,-9.1326
308,0.0853,-0.0206,-9.1637
309,0.0083,-0.0324,-9.1874
310,0.0359,-0.0111,-9.178
311,0.097,0.015,-9.1776
312,0.0263,-0.0075,-9.1728
313,0.0282,-0.0163,-9.1668
314,0.094,0.005,-9.1833
315,0.039,-0.0149,-9.1709
316,0.0275,-0.0298,-9.1447
317,0.0808,0.0108,-9.1542
318,0.0324,0.0193,-9.1584
319,0.0254,-0.0022,-9.1499
320,0.0802,0.0342,-9.1652
321,0.0209,0.0366,-9.1797
322,-0.0004,0.0161,-9.1776
323,0.0675,0.0213,-9.1885
324,0.0349,-0.0054,-9.1799
325,-0.0016,-0.0207,-9.1704
326,0.0636,0.018,-9.235
327,0.0458,0.0183,-9.2379
328,0.0038,-0.0196,-9.1938
329,0.0572,-0.0091,-9.1983
330,0.0455,0.0016,-9.213
331,0.0094,-0.0176,-9.218
332,0.0712,0.0072,-9.2456
333,0.0566,0.015,-9.2478
334,-0.0092,-0.0173,-9.1857
335,0.0586,0.001,-9.1631
336,0.076,0.0099,-9.194
337,0.0178,-0.0386,-9.2051
338,0.0649,-0.0387,-9.194
339,0.0919,-0.0019,-9.1732
340,0.0359,-0.037,-9.1353
341,0.0669,-0.0379,-9.1257
342,0.0948,0.0013,-9.1521
343,0.0306,-0.0181,-9.1578
344,0.0665,-0.0166,-9.1332
345,0.114,0.0005,-9.1512
346,0.0428,-0.0607,-9.1616
347,0.0744,-0.149,-9.148
348,0.1479,-0.121,-9.1626
349,0.0523,0.0145,-9.1677
350,0.0169,0.0994,-9.1388
351,0.1086,0.0869,-9.127
352,0.0883,0.032,-9.1141
353,0.0732,-0.0178,-9.1239
354,0.1462,-0.0233,-9.1742
355,0.1257,-0.0337,-9.2139
356,0.1913,-0.0547,-9.2528
357,0.3963,-0.0492,-9.3199
358,0.3281,-0.0245,-9.3551
359,0.1306,0.0109,-9.2701
360,0.0952,0.0387,-9.2013
361,-0.0137,0.0197,-9.1498
362,-0.098,0.0019,-9.1006
363,0.0026,0.0645,-9.097
364,0.0632,0.1321,-9.1004
365,0.0282,0.0563,-9.1523
366,0.0758,-0.0394,-9.1724
367,0.1035,-0.0346,-9.1539
368,0.0578,-0.0222,-9.1397
369,0.1073,0.0136,-9.1224
370,0.1156,0.0482,-9.1411
371,0.03,0.0386,-9.1637
372,0.0645,0.0541,-9.182
373,0.1257,0.068,-9.1956
374,0.0707,0.0195,-9.1605
375,0.1032,-0.0169,-9.137
376,0.1634,-0.0179,-9.1593
377,0.1126,-0.0459,-9.1825
378,0.1723,-0.0528,-9.2075
379,0.2385,-0.0025,-9.2269
380,0.1045,0.0383,-9.2009
381,0.05,0.0528,-9.1655
382,0.1106,0.0612,-9.1522
383,0.0897,0.0538,-9.1644
384,0.088,0.0155,-9.1561
385,0.1581,-0.0106,-9.1314
